case,fold,filename,iou,n_polygons,call_seconds,error,notes
23,4,23.png,0.605219436413067,1,2.65,"","I have traced the black solid site boundary outlining the buildings located between Kensington Square and South End."
23:00004:REG_4,0,23_00004_REG_4.png,0.6261468828522087,10,18.17,"","Multiple disjoint pink color fill regions representing Article 4 Designation areas across the central and southern parts"
23:00006:REG_4,1,23_00006_REG_4.png,0.8395808822297622,1,6.73,"","Thick black solid outline defining the entire City of Westminster according to the legend."
23:53135:ART4,2,23_53135_ART4.png,0.909910534711145,1,2.37,"","A solid red outline boundary surrounding the property identified as White Horse Inn and Bank."
23:53149:ART4,3,23_53149_ART4.png,0.9312457544278211,1,2.65,"","Red solid outline marking the restricted development area at Foulsham Airfield."
23:53155:ART4,4,23_53155_ART4.png,0.9418994307937737,1,2.36,"","Red solid outline surrounding a field at Church Farm identified as plot 494."
23:53159:ART4,0,23_53159_ART4.png,0.7730807157529506,1,2.71,"","A solid red boundary line encircling a wedge-shaped development site that narrows towards the west."
23:53160:ART4,1,23_53160_ART4.png,0.4806507628761696,1,5.28,"","I traced the red boundary encompassing Charles Close and parts of Staitheway Road as defined for the Wroxham Article 4 D"
23:53161:ART4,2,23_53161_ART4.png,0.18511950461991764,1,4.43,"","I traced the red solid line boundary encompassing the village center as shown on the Reepham Article 4 Direction map."
23:53162:ART4,3,23_53162_ART4.png,0.3907298308121849,2,4.05,"","The polygons trace the thick red boundary of the Article 4 Designation at Grange Close, representing two main parts of t"
25,4,25.png,0.16972522241554774,1,4.08,"","A thick black solid outline delineating 1-27 Drayson Mews for an Article 4 Direction."
2ACB6DFF-E424-4EB5-BD0C-90BA056BDC64,0,2ACB6DFF-E424-4EB5-BD0C-90BA056BDC64.png,0.04501131204255159,1,3.6,"","I have traced the large Article 4 direction area indicated by the thick black dashed outline covering the land adjoining"
2CCA14C4-32BC-443D-9148-22DFE30A3DAC,1,2CCA14C4-32BC-443D-9148-22DFE30A3DAC.png,0.6504037617337289,1,3.77,"","A thick red outline identifies the Article 4 Direction area at Palmtree Hill Plantation."
32,2,32.png,0.2732285920724701,5,4.08,"","Five distinct hatched regions representing the properties numbered 1 to 39 in Carlyle Square as per the Article 4 Direct"
35046BA6-A370-41C1-8316-8797AF1524DD,3,35046BA6-A370-41C1-8316-8797AF1524DD.png,0.266267754716166,2,5.21,"","A heavy black outline denoting the Area of Article 4 Direction covering the Lydden Circuit and adjacent land."
3DA282A7-E829-47CF-B842-E03E0C704072,0,3DA282A7-E829-47CF-B842-E03E0C704072.png,0.292056958037552,2,4.46,"","Red shaded Article 4 Direction area at Townsend Farm, comprising two distinct blocks of land."
42,4,42.png,0.04675925925925926,1,2.59,"","Black solid fill identifying number 43 Shawfield Street, as indicated by the legend."
43,0,43.png,0.2866296285419143,7,4.32,"","Several grey stippled/hatched regions defining an Article 4 Direction site at Chelsea Park Gardens."
43C82C9C-0E1B-4CAE-83F8-E33277D7AC41,1,43C82C9C-0E1B-4CAE-83F8-E33277D7AC41.png,0.7235891062577313,1,2.93,"","I have traced the pink hatched area which represents the boundary of the Article 4 direction land north east of Sea Stre"
45,2,45.png,0.14672581195520676,1,4.42,"","A thick black boundary and internal cross-hatching covering a terrace of properties along Kensington Park Road and Verno"
498E1484-1D2E-418C-9547-A93AE9A57BB0,3,498E1484-1D2E-418C-9547-A93AE9A57BB0.png,0.1569935362802718,1,4.12,"","Long hatched area bounded by a thick red line, defining the Article 4 Direction boundary."
4AB36890-E52B-4CCC-9CDE-FB1476FCEB82,0,4AB36890-E52B-4CCC-9CDE-FB1476FCEB82.png,0.6167851500789889,1,2.67,"","A single rectangular-like region outlined with a bold red line, located near the center of the Map for land at Kingsdown"
563A71DE-DC37-4251-9F93-7D0EC49A3559,4,563A71DE-DC37-4251-9F93-7D0EC49A3559.png,0.9552978885439071,1,2.67,"","I traced the red hatch-filled boundary outlining the property labeled 'The White House' on St Margaret's Road."
5B10B5A8-B0A0-4DB3-9867-55B78F678079,0,5B10B5A8-B0A0-4DB3-9867-55B78F678079.png,0.48721077566186716,1,4.0,"","I traced the dark, solid black line denoting the Article 4 Direction boundary for the land northwest of the A20 Folkesto"
5FA84190-A72E-4E26-A5B2-C17B67D4BB11,1,5FA84190-A72E-4E26-A5B2-C17B67D4BB11.png,0.43169021697625726,1,3.91,"","A long vertical strip of land highlighted with a red/pink wash, representing an Article 4 direction area along the coast"
641BF666-7262-4847-9393-17841CF92430,2,641BF666-7262-4847-9393-17841CF92430.png,0.248751345939513,1,4.07,"","I have traced the Sandwich Walled Town Conservation Area boundary, defined in the legend as the hatched region enclosed "
69,3,69.png,0.8065004577787168,1,2.7,"","Hatched shading marking property number 13 on the south side of Dawson Place."
71,4,71.png,0.4035310183378853,1,3.55,"","A solid black cross-hatched region representing the properties included in the Article 4 direction between Brewster Gard"
7202D619-4C27-4DA4-857E-B89F78C9D8D5,0,7202D619-4C27-4DA4-857E-B89F78C9D8D5.png,0.8965514456795158,1,2.88,"","A solid red color wash area representing the Article 4 Direction boundary on the ordnance survey map."
79,1,79.png,0.9489926024232593,1,6.71,"","Solid black boundary line encompassing the entire Royal Borough of Kensington and Chelsea as indicated in the legend."
85,2,85.png,0.35540798356325215,22,17.66,"","Multiple small polygons shaded in a red-orange fill, scattered across the central part of the street map, representing s"
8609F3A9-3398-4F70-809B-B7ADF17E541F,3,8609F3A9-3398-4F70-809B-B7ADF17E541F.png,0.4041683932385065,1,3.99,"","A single cross-hatched region representing the Article 4 Direction site encompassing areas within both Canterbury and Do"
862ACE10-49B0-4423-B47D-F771D78D285D,4,862ACE10-49B0-4423-B47D-F771D78D285D.png,0.6527964631102792,1,7.63,"","A red solid boundary line tracing a long, narrow coastal plot south of the main road in Capel-le-Ferne."
8CAFB06E-C92F-41CC-B701-6A38171FFAC2,0,8CAFB06E-C92F-41CC-B701-6A38171FFAC2.png,0.1713694250514565,1,3.32,"","A solid pink shaded region denoting the Article 4 direction land at Elms Vale, Dover."
983981FC-89B6-466B-A76B-2FC9F050B5CF,1,983981FC-89B6-466B-A76B-2FC9F050B5CF.png,0.4606809443604601,1,7.11,"","A solid red outline and dotted fill defining a large boundary covering the historic town area of Deal along the coastlin"
A002S,2,A002S.png,0.29640241961158864,1,3.28,"","Red solid line marking the site boundary, as indicated by the 'THE SITE' label."
A003S,3,A003S.png,0.7139810426540284,1,2.73,"","Red solid outline around a small property at the junction of Main Street and Orchard Road, labeled with a red arrow from"
A005S,4,A005S.png,0.2914818779629913,1,2.95,"","Red outline marking 'THE SITE' boundary around a specific building on Bonton Road."
A008S,0,A008S.png,0.5891035380942045,1,13.17,"","Red solid outline marking the site boundary at 37a Main Street."
A014S,1,A014S.png,0.8117684277127492,1,2.3,"","Red solid outline around the small rectangular building labeled 'THE SITE' located on Maffit Road."
A016S,2,A016S.png,0.2594549499443827,1,3.68,"","A solid red boundary line outlining the residential property labeled as 'THE SITE' on 1 Helpston Road."
A018S,3,A018S.png,0.36768665850673193,1,3.19,"","I have traced the red solid line boundary for the plot labeled 'The site' south of Aberfeldy and Garthside."
A030S,4,A030S.png,0.2933926045665791,1,3.08,"","Red solid outline around May Cottage, indicated by 'The site' label and arrow."
A084S,0,A084S.png,0.8481390926378701,1,2.4,"","A small red rectangular site boundary enclosing number 27 West Street."
A097S,1,A097S.png,0.2805325987144169,1,2.85,"","Red outline around a small rectangular structure located north of Southcroft and east of The Maltings."
A100S,2,A100S.png,0.5141786596270118,1,2.84,"","I have traced the red solid outline identifying 'The Shieling' as marked by the label 'THE SITE'."
A105H,3,A105H.png,0.8402766668235073,1,2.8,"","Red solid outline marking 'THE SITE' boundary for 270 Eastfield Road, Peterborough."
A108P_p4,1,A108P_p4.png,0.26404586333827235,1,3.84,"","Red outline marking the Article 4 Draft Map area for Woodston, following Oundle Road, New Road, and London Road."
A108P_p5,1,A108P_p5.png,0.2983883840744926,6,11.03,"","Red solid outlines indicating multiple disjoint regions for the Article Four Draft Map in the Hampton Area."
A108P_p6,1,A108P_p6.png,0.5237187332553948,1,4.88,"","Red solid outline tracing the Article Four Draft Map boundary in the Park Area of Peterborough."
A4Ba1,4,A4Ba1.png,0.2699420135698566,1,4.95,"","A solid purple outline defining the Belsize Park Conservation Area boundary as indicated in the map legend."
A4D-04,0,A4D-04.png,0.5825589738090817,1,4.09,"","I have traced the large hand-drawn hatched area across the center of the map, which appears to delineate a specific plan"
A4D-08,1,A4D-08.png,0.8257389834205934,1,2.14,"","A single polygon traced from the thick solid boundary line defining the site area."
A4D-11,2,A4D-11.png,0.9074215753005888,1,2.87,"","I traced the thick black solid line boundary outlining the fields labeled 7276, 7160, and 7045 as part of the Article 4 "
A4D-16,3,A4D-16.png,0.18826433367275824,1,5.83,"","Thick red/brown solid outline indicating the Article 4 Direction boundary for Sydney Farm, Alfold."
A4D-21,4,A4D-21.png,0.7671590785809858,1,3.87,"","Thick black solid outline defining the boundary of Wood Farm as per the Article 4 direction."
A4D-24,0,A4D-24.png,0.05552306437770281,1,9.47,"","I traced the solid black boundary with hatching identifying Land at Norley Farm as described in the map title."
A4D03,1,A4D03.png,0.418800541082521,1,8.31,"","A solid red line tracing the multi-point boundary of Barking and Dagenham as shown on the central overview map."
A4D10,2,A4D10.png,0.1571557759086937,1,10.06,"","Black dashed outline identifying the Article 4 Direction area in Henbury, following property boundaries and roads."
A4D10A1,3,A4D10A1.png,0.47059482085713666,1,3.54,"","I have traced the boundary of the Moss Hall Crescent conservation area, which is indicated by a red solid outline and co"
A4D11,4,A4D11.png,0.1265535295153258,1,4.54,"","I have traced the red solid outline indicating the boundary on the left side of the map."
A4D12,0,A4D12.png,0.3844047941582485,1,6.92,"","Red solid outline encompassing the Clifton area including the Downs, the Village, and Hotwells."
A4D13,1,A4D13.png,0.7453100449907557,1,5.61,"","Red solid outline marking the central boundary area across Bristol, encompassing districts like Cotham, Lawrence Hill, a"
A4D14,2,A4D14.png,0.2887184864914933,1,4.13,"","I traced the solid black line designated as 'W1 - GROVE WOOD' on this Tree Preservation Order map."
A4D14A1,3,A4D14A1.png,0.26801685247693785,1,5.5,"","A solid red line defining the Article 4 Direction boundary across the London Borough of Barnet."
A4D15,4,A4D15.png,0.7067415918877336,1,3.54,"","A solid red line defining a large irregular planning boundary across a street map of Redland and surrounding areas in Br"
A4D16,0,A4D16.png,0.8052194538735595,1,4.11,"","A solid red line defining a large irregular planning area encompassing several residential streets between Westbury Road"
A4D4A1,1,A4D4A1.png,0.5138012305368181,1,4.68,"","Thick black line marking the boundary of the Hampstead Garden Suburb Conservation Area."
A4D5,2,A4D5.png,0.6263823789581093,1,5.94,"","A solid red line defining an Article 4 Direction boundary across the Horfield, Bishopston, and Ashley Down areas of Bris"
A4D5A_merged,3,A4D5A_merged.png,0.09325071667745029,4,5.18,"","Thick dashed black lines indicating the Extent of Article 4 Control around several street blocks in the Hendon Conservat"
A4D6,4,A4D6.png,0.35373570172725216,1,7.33,"","Continuous red solid outline boundary marking the Bristol City Council Article 4 Direction area in the Fishponds and St "
A4D6A_merged_p10,3,A4D6A_merged_p10.png,0.004445524110287866,1,10.79,"","A heavy, dashed black boundary representing the Mill Hill Conservation Area, encircling a large irregular region across "
A4D6A_merged_p9,3,A4D6A_merged_p9.png,0.11390876641941149,1,6.35,"","Black solid and dashed outline defining the Article 4 control boundary for Mill Hill Conservation Area."
A4D7,0,A4D7.png,0.15895568777195632,1,6.54,"","A solid red line defining the Article 4 Direction boundary covering Southville, Bedminster, and parts of Windmill Hill a"
A4D8,1,A4D8.png,0.4628872749092844,1,4.76,"","I have traced the red solid outline identifying the Article 4 Direction area in Avonmouth."
A4D8A_merged,2,A4D8A_merged.png,0.0,1,4.19,"","Red solid outline defining the boundary of Monken Hadley Conservation Area, encompassing various shaded parcels."
A4D9,3,A4D9.png,0.41772079919789207,1,5.74,"","I traced the thick dashed black outline marking the Article 4 Direction area at Sherrin Way."
A4DA01,4,A4DA01.png,0.885203858528794,1,3.79,"","A single continuous red line boundary enclosing a large green-shaded area of land west of the M66 motorway near Chattert"
A4DA02,0,A4DA02.png,0.6452178383718877,1,4.08,"","Red solid outline and light pink fill defining an irregularly shaped development site incorporating Irwell Vale and land"
A4DA03,1,A4DA03.png,0.8575617425633493,1,2.96,"","Thick red solid boundary line enclosing a triangular plot of land bounded by roads near Higher Tunstead Farm."
A4DA04,2,A4DA04.png,0.8985709764934701,1,3.68,"","Red solid outline encompassing multiple fields and buildings labeled Fox Hill, Higher Slack, and Far Slack."
A4DA05,3,A4DA05.png,0.9391676994110615,1,3.17,"","A red solid line outlining a large field west of Collinge Fold Lane and south of Limy Water."
A4DA06,4,A4DA06.png,0.5063277849671457,1,4.33,"","Thick black dotted line defining the Bacup Town Centre Conservation Area boundary across an OS base map."
A4Da1,0,A4Da1.png,0.6046155074007441,1,5.07,"","Thick red solid boundary line encompassing several districts including City Centre, Mutley, and Peverell as specified in"
A4Da2,1,A4Da2.png,0.5670215077123615,1,2.42,"","A small red solid outline representing the Article 4 Direction Boundary on High Street."
A4Da3,2,A4Da3.png,0.560975551104132,1,2.96,"","Black solid outline of a large field area south of the housing estate at Portway Hill."
A4EC3a1,3,A4EC3a1.png,0.10364817727638324,1,8.11,"","A complex dashed and solid red boundary marking the Article 4 Direction Area encompassing large sections of central Lond"
A4FNa1,4,A4FNa1.png,0.48739960279492095,1,5.52,"","Red solid outline marking the Fitzjohns/Netherhall Conservation Area boundary covering several city blocks."
A4Ha1,0,A4Ha1.png,0.1809449759151566,4,10.59,"","Purple solid outlines marking the four disjoint designated sections of the Hampstead Conservation Area boundary."
A4KTRa1,1,A4KTRa1.png,0.9526101187174082,1,2.99,"","I traced the solid red boundary outline around Castle (PH), 147 Kentish Town Road."
A4RFa1,2,A4RFa1.png,0.310925464481991,1,5.61,"","I have traced the red solid boundary line representing the Redington/Frognal Conservation Area as shown on the plan."
A4Sa1,3,A4Sa1.png,0.8198586707058523,1,5.5,"","I have traced the purple solid outline representing the Swiss Cottage Conservation Area boundary as indicated in the map"
A4_002:CA,4,A4_002_CA.png,0.38758133739443446,6,10.86,"","Yellow-shaded properties representing areas affected by the Article 4 Direction across several street blocks."
A4_088:LL:016,0,A4_088_LL_016.png,0.3724351543659683,1,4.56,"","Red solid outline boundary encompassing the National Space Centre main building and adjacent circular structures."
A4_093:LL:012,1,A4_093_LL_012.png,0.5087419791605345,1,2.68,"","Red solid outline around the Former Hoskins' Brewery on Beaumanor Road."
A4_094:LL:013,2,A4_094_LL_013.png,0.8388987262237962,1,2.67,"","Red solid outline marking the Article 4 Direction boundary around St Patrick's RC Church and Presbytery."
A4_097:LL:030,3,A4_097_LL_030.png,0.8226901076172317,1,2.99,"","Red solid outline boundary of the Article 4 Direction encompassing The Old Transformer Station off Painter Street."
A4_101:LL:069,4,A4_101_LL_069.png,0.22459569257413853,1,4.36,"","Red solid line marking the planning application boundary for properties 317-355 Narborough Road."
A4_102:LL:077,0,A4_102_LL_077.png,0.8581093248496704,1,3.24,"","I have traced the red solid line boundary surrounding the Haymarket Theatre on the map."
A4_112:LL:048,1,A4_112_LL_048.png,0.7649373623596519,1,3.49,"","Red solid outline marking the Article 4 (2nd) direction boundary for Sangha Close."
A4aSHP1,2,A4aSHP1.png,0.05682974089773648,1,3.09,"","A shaded region outlined in black located between Hampstead Ponds and South Hill Park."
ART4:15:00001,3,ART4_15_00001.png,0.9296793249440684,1,3.82,"","Red solid outline defining the application site boundary north of Marl Lane and east of Puddleslosh Lane."
ART4:22:00001,4,ART4_22_00001.png,0.16777323591610727,1,6.99,"","A solid red line defining the planning boundary of the New Forest National Park across a regional map."
ART4:66:00001,0,ART4_66_00001.png,0.8359898934871226,1,3.73,"","Red solid outline surrounding the triangular field identified as Site No. 9."
ART4:82:00001,1,ART4_82_00001.png,0.016748073193636397,1,5.98,"","A single continuous red line boundary representing Article 4 Direction Site No. 19, encompassing a large rural area sout"
ARTICLE:200,2,ARTICLE_200.png,0.0771846813544285,1,2.19,"","A small red-hatched 'Application site' indicated by the legend, located in the north-central area of the map."
ARTICLE:210,3,ARTICLE_210.png,0.706162251072079,1,2.61,"","A red solid outline containing black dots, located north of the A603 road near Barton, as indicated by the legend for th"
ARTICLE:230,4,ARTICLE_230.png,0.05947881006719919,1,2.95,"","I have traced the bold black triangular-shaped boundary located east of the A 604 road, bordered to the north by the Riv"
ARTICLE:260,0,ARTICLE_260.png,0.2736282265249122,2,6.83,"","A large consolidated area delineated by a thick orange boundary outline across agricultural land, with a small secondary"
ARTICLE:270,1,ARTICLE_270.png,0.5807141869544893,1,3.49,"","I have traced the thick black solid line boundary enclosing the Allotment Gardens area."
Ar4.10,2,Ar4.10.png,0.09161720060304938,1,4.81,"","A multi-segmented polygon tracing the shaded Article 4 Direction area and associated land parcels north of the residenti"
Ar4.11,3,Ar4.11.png,0.33510772544509115,1,4.72,"","I have traced the thick black solid line outlining the site boundary south of the M10 motorway."
Ar4.14,4,Ar4.14.png,0.5201089741860653,1,3.57,"","A hatched black-outlined region located to the rear of 26-64 Manor Road, Wheathampstead."
Ar4.15,0,Ar4.15.png,0.4813146773176774,1,3.01,"","A thick black solid outline with a cross-hatched interior fill, defining the site boundary at Bylands Meadow, Redbourn."
Ar4.16,1,Ar4.16.png,0.6489472389852632,1,2.55,"","Black thick outline with horizontal hatching marking an Article 4 Direction area at Sandridgebury Lane."
Ar4.17,2,Ar4.17.png,0.483914782063581,1,2.62,"","Hatched area outlined in black labeled 'THE SITE' between Harpenden Road and open land."
Ar4.18,3,Ar4.18.png,0.4206700615380842,1,3.31,"","Black hatched area representing the Article 4 Direction boundary across the fields at Harpenden Road, St Albans."
Ar4.19,4,Ar4.19.png,0.9250177340181028,1,2.62,"","A thick black solid outline with diagonal hatching, labelled as THE SITE, situated between Lower Luton Road and the Rive"
Ar4.1_7a_merged,0,Ar4.1_7a_merged.png,0.03970071635211462,9,7.04,"","Article 4 area designations comprising various coloured fill regions (purple, green, orange, light blue, pink) and red c"
Ar4.2,1,Ar4.2.png,0.8973351690835716,1,3.12,"","Red outline marking the irregular boundary of the proposed site south of Lower Luton Road."
Ar4.20,2,Ar4.20.png,0.8142171756105967,1,2.42,"","Purple hatched region denoting the Cunningham Avenue Article 4 Direction area as indicated by the legend."
Ar4.21,3,Ar4.21.png,0.7987679550063159,1,3.16,"","The proposed Article 4 boundary is shown as a solid red outline encompassing the Alban Park Industrial Estate."
Ar4.22,4,Ar4.22.png,0.9571586895120042,3,3.49,"","Red solid outlines tracing the Proposed Article 4 boundary around Brick Knoll Park and adjacent sites on Ashley Road."
Ar4.23,0,Ar4.23.png,0.5664012290359749,1,2.85,"","Red solid outline marking the Proposed Article 4 boundary along Coldharbour Lane encompassing the Industrial Estate, Bus"
Ar4.24,1,Ar4.24.png,0.9799069807134323,1,2.63,"","A red solid outline marking the proposed Article 4 boundary around buildings at the North Orbital Trading Estate."
Ar4.25,2,Ar4.25.png,0.5081391561961591,1,3.25,"","I traced the red solid outline marking the Proposed Article 4 boundary encompassing the Porters Wood and Soothouse Sprin"
Ar4.26,3,Ar4.26.png,0.16978581925172215,1,4.17,"","A solid red line boundary encircling the Southdown Industrial Estate, as indicated by the 'Proposed Article 4 boundary' "
Ar4.27,4,Ar4.27.png,0.8811712306633134,1,2.58,"","A single red solid line outline defining the Proposed Article 4 boundary around St Albans Abbey Station and adjacent bui"
Ar4.28,0,Ar4.28.png,0.8240014101886127,1,5.82,"","Proposed Article 4 boundary traced according to the red solid outline as indicated in the legend."
Ar4.29,1,Ar4.29.png,0.3753664678953824,1,3.87,"","A red solid line defining the Proposed Article 4 boundary around St Albans City Station, specifically encompassing comme"
Ar4.3,2,Ar4.3.png,0.28503333817943294,1,5.35,"","A thick black solid boundary line defining the Article 4 area across a large urban and parkland site."
Ar4.30,3,Ar4.30.png,0.8814474342397101,1,2.41,"","A heavy black outline with diagonal hatching, defining a plot of land north of the railway line and Lower Luton Road."
Ar4.4,4,Ar4.4.png,0.43005222169473034,1,5.53,"","A red dashed line boundary outlining a large residential and estate area north of London Road."
Ar4.5,0,Ar4.5.png,0.7736956888195878,1,4.54,"","Solid black outline defining the Article Four Boundary for the Radlett Airfield area."
Ar4.6,1,Ar4.6.png,0.07038523009167776,1,3.48,"","A single thick black solid line outlining the Sopwell Lane / Albert Street Article 4 Direction area."
Ar4.8,2,Ar4.8.png,0.3813795236622332,1,3.69,"","I traced the small rectangular area outlined with a thick black line, specifically labeled as the Article 4 Boundary on "
Ar4.9,3,Ar4.9.png,0.4680802440055103,1,4.5,"","A red solid outline identifying Colney Heath Farm as the Article IV Area mentioned in the document title block."
Art4D04,4,Art4D04.png,0.6067265952133994,2,5.87,"","I have traced the red boundary lines that define two large, irregularly shaped site areas containing several numbered ci"
Art4D05,0,Art4D05.png,0.9006728676693584,1,6.86,"","A red solid outline identifying a large designated planning area encompassing a town centre, bounded by a river to the s"
Art4D11,1,Art4D11.png,0.5921314168377824,1,2.83,"","Red solid outline marking the site boundary for properties 1 and 3 on The Lane in Kingston."
B4BE31D4-36A8-452E-97FF-04A53362B26C,2,B4BE31D4-36A8-452E-97FF-04A53362B26C.png,0.44779837680400564,1,2.93,"","I have traced the red-stippled polygon representing the site boundary for the Dover Town and Country Planning Direction "
B6C8BCAD-105E-4CA8-83B3-5A20DA5602EE,3,B6C8BCAD-105E-4CA8-83B3-5A20DA5602EE.png,0.8959613487639245,1,3.42,"","I traced the pink shaded area which denotes the Article 4 Direction covering 'The Salutation' property as indicated by t"
B9CDCF90-EC6A-4B66-A967-DEBF3B72D58D,0,B9CDCF90-EC6A-4B66-A967-DEBF3B72D58D.png,0.8254217340133385,1,2.6,"","Pink solid fill boundary marking the application area at Hogs Bush, north of Kingsdown Road."
C69CB574-81DC-4130-B7D7-EB68C744D477,4,C69CB574-81DC-4130-B7D7-EB68C744D477.png,0.5918699108087386,2,3.96,"","Red shaded areas representing Article 4 Direction boundaries south of New Dover Road."
C97065B6-03D0-48C4-AE0E-508DB0BE644B,0,C97065B6-03D0-48C4-AE0E-508DB0BE644B.png,0.1576492199986982,1,4.3,"","A single solid pink-washed region representing the Article 4 direction land at Shepherdswell."
CA054DBB-E2B9-495B-A1B4-E66E3FCEFCB6,1,CA054DBB-E2B9-495B-A1B4-E66E3FCEFCB6.png,0.39834755312298775,3,5.94,"","I have traced the three distinct hatched areas bounded by red lines that define the Kingsdown Conservation Area as shown"
CB:11:04552:ART4,2,CB_11_04552_ART4.png,0.9218035629828157,1,3.48,"","I have traced the red solid outline designating the Article 4 Direction area at Wrest Park Estate."
